"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
8.074987500E0,1.486845970E0,-4.569272101E-1,1.918116808E-1
8.099984375E0,1.280373573E0,-4.752531648E-1,9.651670605E-2
8.120006250E0,1.216843605E0,-6.890559793E-1,-1.221730490E-3
8.145003125E0,1.148426652E0,-5.302309990E-1,-1.014036313E-1
8.170000000E0,1.082453251E0,-5.656611919E-1,-2.565634064E-2
8.194995312E0,9.883799553E-1,-3.909537494E-1,1.832595766E-1
8.219992187E0,1.121548533E0,-3.652974069E-1,2.174680233E-1
8.244989062E0,1.070235848E0,-1.172861233E-1,-3.420845419E-2
8.269985937E0,9.737191796E-1,-3.738495111E-1,-1.795943826E-1
8.294981250E0,7.428121567E-1,-4.239404798E-1,-1.368338168E-1
8.315003125E0,5.375614166E-1,-3.310889602E-1,-2.932153083E-2
8.340001562E0,4.789183438E-1,-1.282816976E-1,0.000000000E0
8.364996875E0,2.370157093E-1,1.099557430E-2,-7.452555746E-2
8.389993750E0,-4.764748737E-2,6.597344577E-2,-1.624901593E-1
8.414989062E0,-3.824016452E-1,-1.331686229E-1,-3.139847219E-1
8.439985937E0,-6.768386960E-1,-9.896016866E-2,-4.019493163E-1
8.464982812E0,-1.043357849E0,1.710422635E-1,-2.333505154E-1
8.485004687E0,-1.073901057E0,7.024950385E-1,-1.380555481E-1
8.510001562E0,-8.686503768E-1,8.185594082E-1,-2.211332172E-1
8.534998437E0,-7.574728876E-2,-1.258382350E-1,-2.125810981E-1
8.559995312E0,2.345722467E-1,-4.117231667E-1,-3.762929738E-1
8.584990625E0,-3.225368559E-1,-4.398229718E-2,-4.300491214E-1
8.609987500E0,-9.957103133E-1,4.373795092E-1,-2.101376355E-1
8.634982812E0,-1.148426652E0,6.902776957E-1,1.649336070E-1
8.655006250E0,-1.051909924E0,4.911356568E-1,3.750712574E-1
8.680003125E0,-1.156978726E0,5.033529401E-1,1.282816976E-1
8.704998437E0,-1.297477722E0,9.737191796E-1,-1.893682182E-1
8.729995312E0,-1.477072120E0,1.325577617E0,-9.773843735E-2
8.754992187E0,-1.565036774E0,1.169196010E0,1.099557430E-1
8.779987500E0,-1.695761919E0,6.658431292E-1,7.819075137E-2
8.804984375E0,-1.620014548E0,9.566149712E-1,-8.307766914E-2
8.829981250E0,-1.555262923E0,8.894197941E-1,-1.392772794E-1
8.850025000E0,-1.474628687E0,9.957103133E-1,-1.881464869E-1
